Date,Open,High,Low,Close,Adj Close,Volume
2022/4/20,225.169998,226.699997,212,214.820007,214.597229,46897400
2022/4/21,217.089996,223.919998,200,201.830002,201.620712,65620900
2022/4/22,203.029999,204.860001,195,195.149994,194.947617,62471300
2022/4/25,192.020004,199.449997,190.960007,199.020004,198.813614,64156600
2022/4/26,197.179993,197.880005,186.699997,187.880005,187.685165,65314300
2022/4/27,185.979996,191.669998,182.899994,184.149994,183.959015,49946000
2022/4/28,189.669998,200.369995,184.899994,197.820007,197.614853,57032700
2022/4/29,194.020004,201.279999,185.169998,185.470001,185.277634,50043500
2022/5/2,185.410004,195.740005,183.910004,195.330002,195.127441,57204900
2022/5/3,194,198.25,191.330002,196.020004,195.816711,47575100
2022/5/4,199.229996,204,187.509995,203.339996,203.12912,64885500
2022/5/5,198.669998,199.25,185,188.440002,188.244553,62633100
2022/5/6,187.360001,195.119995,179.899994,186.75,186.556335,63329700
2022/5/9,180.339996,182.550003,168.270004,169.5,169.324219,64445500
2022/5/10,176.889999,181.979996,170.25,175.949997,175.767517,76147400
2022/5/11,173.470001,177.529999,165.679993,166.300003,166.127548,67016700
2022/5/12,162.190002,167.880005,155.669998,161.75,161.58226,70872800
2022/5/13,167.880005,179.279999,165.929993,177.059998,176.876373,67043700
2022/5/16,175.089996,177.880005,171.059998,172.639999,172.460953,52144600
2022/5/17,180.740005,183.710007,176.339996,181.770004,181.581512,58583000
2022/5/18,177.050003,181.179993,168.639999,169.380005,169.20433,54516100
2022/5/19,169.369995,176.869995,167.339996,171.240005,171.062424,62131000
2022/5/20,173.320007,174.100006,157.550003,166.940002,166.766891,73910500
2022/5/23,162.740005,169.149994,161.789993,168.979996,168.804764,63988900
2022/5/24,165.100006,165.970001,157.800003,161.539993,161.372482,58855000
2022/5/25,160.199997,171.110001,160,169.75,169.573959,78113200
2022/5/26,160.360001,180.919998,160.220001,178.509995,178.32489,99657500
2022/5/27,181.860001,188.809998,181,188.110001,187.914932,73837900
2022/5/31,189.800003,192,183.5,186.720001,186.526367,66410000
2022/6/1,187.240005,190.529999,181.220001,183.199997,183.01001,54451400
